url,Standardized Product Type,Custom Product Type,WEIGHTS,Category
https://dealer.yocaher.com/drop-through-crest-Onyx-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-crest-burgundy-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-gradient-pink-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-gradient-green-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-spirit-wolf-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-spirit-lion-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-spirit-owl-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-wave-scene-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-palm-city-rasta-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-pines-natural-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-bird-green-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-bird-red-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
https://dealer.yocaher.com/drop-through-bird-natural-longboard-complete/,Sporting Goods > Outdoor Recreation > Skateboarding > Skateboards,Skateboard Complete,4535.0,Complete Longboards
